date,market,problem_type,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6
2025-11-24 03:01:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-01-17 00:05:00,market_1,Type_2 (Technician),1,0,1,0,0,0,0
2025-10-29 08:51:00,market_1,Type_2 (Technician),1,0,0,0,0,0,0
2025-02-19 11:54:00,market_2,Type_5 (Internet/Wifi),1,1,1,0,0,0,0
2025-05-31 20:39:00,market_2,Type_5 (Internet/Wifi),1,1,1,0,0,0,0
2025-02-21 12:17:00,market_2,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-11-22 05:34:00,market_3,Type_2 (Technician),1,1,0,0,0,0,0
2025-01-29 07:52:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-09-13 12:56:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-10-26 12:23:00,market_1,Type_2 (Technician),1,0,1,1,0,0,0
2025-08-05 19:04:00,market_2,Type_4 (Construction),1,0,0,0,0,0,0
2025-02-28 21:56:00,market_3,Type_3 (Scheduling),1,0,0,0,0,1,0
2025-05-15 16:48:00,market_1,Type_5 (Internet/Wifi),1,0,0,0,0,0,0
2025-03-24 17:49:00,market_3,Type_1 (Account),1,0,0,0,0,0,0
2025-05-03 01:15:00,market_3,Type_1 (Account),1,0,0,0,0,0,0
2025-09-01 17:10:00,market_2,Type_5 (Internet/Wifi),1,0,0,0,0,0,0
2025-06-09 12:42:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-04-28 18:14:00,market_1,Type_1 (Account),1,0,0,0,0,0,0
2025-05-23 21:31:00,market_1,Type_5 (Internet/Wifi),1,1,0,0,0,0,0
2025-04-08 03:06:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-02-01 12:46:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-02-08 14:51:00,market_3,Type_1 (Account),1,1,0,0,0,0,0
2025-03-27 13:31:00,market_2,Type_2 (Technician),1,0,0,0,1,0,0
2025-08-21 09:27:00,market_3,Type_5 (Internet/Wifi),1,0,0,0,0,1,0
2025-02-01 23:20:00,market_1,Type_1 (Account),1,0,0,0,0,0,0
2025-04-06 02:38:00,market_1,Type_2 (Technician),1,0,0,0,0,1,0
2025-12-03 18:36:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-06-03 14:20:00,market_1,Type_1 (Account),1,0,0,0,0,0,0
2025-06-28 02:56:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-09-28 00:42:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-03-21 08:18:00,market_3,Type_2 (Technician),1,0,0,0,0,0,0
2025-01-27 02:40:00,market_2,Type_3 (Scheduling),1,1,0,0,0,0,0
2025-12-28 13:35:00,market_1,Type_1 (Account),1,0,0,0,0,0,0
2025-03-17 13:08:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-12-08 03:22:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-04-01 13:01:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-12-26 03:24:00,market_1,Type_4 (Construction),1,0,0,0,0,0,0
2025-01-13 21:12:00,market_2,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-10-02 10:01:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-06-10 13:38:00,market_3,Type_1 (Account),1,0,0,0,0,1,0
2025-10-03 21:46:00,market_3,Type_2 (Technician),1,0,1,0,0,0,0
2025-06-03 16:19:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-03-31 19:36:00,market_2,Type_4 (Construction),1,0,1,0,0,0,0
2025-08-27 14:28:00,market_3,Type_2 (Technician),1,0,0,0,0,0,0
2025-12-06 20:39:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-05-06 15:39:00,market_1,Type_4 (Construction),1,0,0,0,0,0,0
2025-12-02 22:00:00,market_1,Type_4 (Construction),1,0,0,0,0,0,0
2025-03-04 14:08:00,market_2,Type_5 (Internet/Wifi),1,0,0,0,0,0,0
2025-09-16 13:53:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-09-24 15:40:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-03-19 07:24:00,market_3,Type_2 (Technician),1,0,1,0,0,0,0
2025-08-04 12:57:00,market_3,Type_1 (Account),1,0,0,0,1,0,0
2025-08-03 17:47:00,market_3,Type_5 (Internet/Wifi),1,0,0,0,0,0,0
2025-12-09 21:51:00,market_2,Type_2 (Technician),1,0,0,0,0,0,0
2025-12-06 00:05:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-07-14 08:48:00,market_2,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-02-05 20:02:00,market_1,Type_2 (Technician),1,1,1,0,0,0,0
2025-04-22 14:44:00,market_2,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-02-25 18:01:00,market_2,Type_5 (Internet/Wifi),1,0,0,0,0,0,0
2025-11-18 07:06:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-08-08 21:23:00,market_1,Type_5 (Internet/Wifi),1,0,1,0,0,0,0
2025-08-24 22:09:00,market_2,Type_2 (Technician),1,0,0,0,0,0,0
2025-08-12 23:37:00,market_2,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-11-09 21:24:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-11-02 22:56:00,market_2,Type_5 (Internet/Wifi),1,1,0,1,0,0,0
2025-12-20 15:41:00,market_3,Type_4 (Construction),1,0,1,0,0,0,0
2025-07-08 15:35:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-03-03 23:12:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-10-29 16:38:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-01-24 01:35:00,market_2,Type_2 (Technician),1,0,0,0,1,0,0
2025-06-24 05:03:00,market_2,Type_4 (Construction),1,0,0,0,0,0,0
2025-10-16 09:05:00,market_1,Type_1 (Account),1,0,0,0,0,0,0
2025-08-15 09:55:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-04-19 08:42:00,market_1,Type_2 (Technician),1,0,0,0,0,0,0
2025-01-17 07:18:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-12-05 06:27:00,market_1,Type_5 (Internet/Wifi),1,1,1,0,0,1,0
2025-11-01 23:52:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-08-13 02:38:00,market_1,Type_4 (Construction),1,0,0,0,0,0,0
2025-10-28 00:48:00,market_3,Type_3 (Scheduling),1,0,0,0,0,0,0
2025-10-27 13:40:00,market_2,Type_1 (Account),1,0,0,0,0,0,0
2025-09-11 09:42:00,market_2,Type_5 (Internet/Wifi),1,1,1,0,0,0,0
2025-01-01 21:55:00,market_3,Type_4 (Construction),1,0,0,0,0,0,0
2025-04-15 08:35:00,market_1,Type_3 (Scheduling),1,0,0,0,0,0,0
